postal_code,X_coord,Y_coord
579722,28774.82343,36093.07958
402001,35223.77722,33223.62687
600372,16700.93856,36753.52705
409015,34412.44954,34381.99656
658065,19804.7092,35472.8027
310156,29323.0456,34973.75747
761505,29280.4468,44514.14612
768428,27743.96219,46794.77791
179098,29946.0328,30523.98009
737853,24594.96041,46273.8344
128383,18963.10271,32526.30649
159546,26651.50527,29356.84407
238884,27483.2737,32050.20991
187966,30212.27413,31507.47956
169650,27367.61308,30191.27759
531991,33442.74943,40695.29569
89053,29010.898810000002,28219.143989999997
208511,30753.97518,32330.15722
510229,42296.25789,39410.91327
534035,35676.3551,40011.12927
521896,39042.95112,36746.76515
310183,29730.23073,35061.24989
437910,34491.34668,30959.0773
520112,40936.36838,36140.05758
670116,20799.492,39906.30597
101070,25557.51008,28760.62769
571273,29181.37046,37605.60269
768159,29077.52933,46439.02825
239924,29204.14708,31166.37861
757087,25709.98041,47381.1562
764334,29468.79971,46014.65538
389783,33753.41021,33277.93753
608526,18118.10142,34710.44599
409051,34595.30319,33453.4435
730719,24307.23728,47065.90538
409625,35260.65355,33884.87338
408898,35538.52941,34937.20585
138695,23826.84649,30958.02809
218285,30274.9673,32500.78499
120354,21048.93881,32869.12359
763431,29467.4023,44663.71046
567701,28122.81807,39721.36481
79903,29399.97237,28720.47273
327814,30765.73578,33646.89532
641218,14336.06715,36898.52852
127744,19650.3008,32773.0478
544649,34418.02221,42321.804580000004
608586,19210.6782,35445.63497
459700,38390.42424,33421.05969
409572,35165.58115,33941.55206
760308,28805.85753,45883.64187
322116,31059.2271,34419.16616
522524,39751.22844,37892.45861
408868,34765.19901,35014.19431
760125,27679.64037,46184.49945
718788,15242.25057,44111.59262
369977,33806.37545,35340.007
208444,30339.38244,32443.20078
48581,29958.791569999998,29312.13832
68602,29635.280430000003,29251.332239999996
188613,30398.3277,30976.30654
560430,30163.74575,39001.80134
455287,39136.96683,32727.89308
387721,33440.80973,34196.54777
828733,36835.84485,42108.07505
644273,13506.05417,37151.39509
670538,20251.31194,40647.00228
529948,41943.27856,36540.56584
596730,20540.73745,35999.31267
179934,29816.63475,30711.82626
470628,37091.0374,35231.82163
238909,28582.40247,30249.58726
729908,19774.57533,43373.73442
